"ID","Name","Description","PicturePath","Active","CreatedBy","ChangedBy","CreationDate","ChangeDate","Version","Tenant","Alias","ShortDescription","StartTime","EndTime","StartLocation","SportsCategory","MaxDistanceMeter","MaxLaps","NumberOfParticipants","StartNumberMin","StartNumberMax","TeamCount","AgeMin","AgeMax","SportsEventId","RegisterBy","AgeGroupID","AgeGroupID1","CategorySTatus","MapZoomFaktor","latitudeMapCenter","latitudeStart","longitudeMapCenter","longitudeStart","CategoryType","TimeType"
"08b0770a-5c8a-4037-ab40-ea7d8d5f3839","10 km Antenne Brandenburg Lauf","10 km Antenne Brandenburg Lauf",NULL,"1",NULL,NULL,"2021-06-02 22:00:43.586153","2021-06-02 22:00:43.586160","0",NULL,"10-km-bantenne-brandenburg-lau","L 10","0001-01-01 00:00:00.000000",NULL,"virtuell","Laufen","10000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","45a807e4-3a2c-4cd0-a02a-4a69a71f294b","2021-03-30 00:00:00.000000","4e47221a-2ad9-47f7-993e-16d6557641c4",NULL,"4","16","51.8345437","51.8345437","14.1427753","14.1427753","0","1"
"09212165-8946-4529-8782-dad3adfb7a06","Walken ""Rund um den Weifberg""","Walken ""Rund um den Weifberg""",NULL,"1",NULL,NULL,"2021-08-12 21:50:30.523167","2021-08-12 21:50:30.523172","0",NULL,"walken-rund-um-den-weifberg","Wlk 10_So","2021-08-15 09:30:01.000000",NULL,"Hinterhermsdorf","Walken","10000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","a4b4a5f5-8fdd-49c9-ba8f-d8636a7b18b4","2021-08-11 23:59:00.000000","5a4d031d-f6c7-4ddf-b6b2-bb73684d5ddc",NULL,"4","16","50.9248821","50.9248821","14.3561968","14.3561968","0","1"
"09a70aad-eb22-4de6-8572-1141068d1957","2 km Lauf","2 km Lauf",NULL,"1",NULL,NULL,"2022-04-21 08:56:30.031810","2022-04-21 08:56:30.031814","0",NULL,"2-km-lauf","L 2","2022-04-24 15:10:00.000000",NULL,"Burg","Laufen","2000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","6535fde0-2911-4b50-8301-deadd7c1865c","2022-04-21 23:00:00.000000","4e47221a-2ad9-47f7-993e-16d6557641c4",NULL,"4","16","51.8360439","51.8360439","14.1405482","14.1405482","0","1"
"09b40680-c62c-4c8c-801f-11f00377e5e4","5 km Walken","5 km Walken",NULL,"1",NULL,NULL,"2021-06-02 22:00:35.923316","2021-06-02 22:00:35.923336","0",NULL,"5-km-bwalkenb-ohne-zeitmessung","Wlk 5","0001-01-01 00:00:00.000000",NULL,"virtuell","Walken","5000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","45a807e4-3a2c-4cd0-a02a-4a69a71f294b","2021-03-30 00:00:00.000000","8ad479ab-7654-4702-9b1b-7aaacc5af6ad",NULL,"4","16","51.8345437","51.8345437","14.1427753","14.1427753","0","1"
"09bf9682-7db4-4150-ba76-18ca132997b7","10 km Stand up Paddling","10 km Stand up Paddling",NULL,"1",NULL,NULL,"2022-04-21 08:56:38.998489","2022-04-21 08:56:38.998492","0",NULL,"10-km-stand-up-paddling","P 10","2022-04-22 00:00:00.000000",NULL,"Burg","Paddeln","10000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","6535fde0-2911-4b50-8301-deadd7c1865c","2022-04-21 23:00:00.000000","e64dac58-2748-4262-87d2-4ff260070f2c",NULL,"0","16","51.8360439","51.8360439","14.1405482","14.1405482","0","0"
"09dcd912-23a0-4dc5-b20f-0830e4b56eec","7,7 km Walken von der Stadtkirche zur Festung","7,7 km Walken von der Stadtkirche zur Festung",NULL,"1",NULL,NULL,"2022-08-15 17:13:37.227422","2022-08-15 17:13:37.227427","0",NULL,"77-km-walken-von-der-stadtkirc","WLK 7,7","2022-08-12 18:35:00.000000",NULL,"Königstein","Walken","7700.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","b90b105d-5504-4165-9dab-5367aac1d1b7","2022-08-11 23:00:00.000000","8ad479ab-7654-4702-9b1b-7aaacc5af6ad",NULL,"4","16","50.919059","50.919059","14.0551049","14.0551049","0","1"
"0a55848d-68e2-4417-b767-c65506557d06","21,5 km Biosphärenreservat-Walken","21,5 km Biosphärenreservat-Walken",NULL,"1",NULL,NULL,"2020-06-14 14:49:21.239106","2020-06-14 14:49:21.239117","0",NULL,"215-km-biosphrenreservat-walke","Wlk 21,5","2020-04-18 08:45:02.000000",NULL,"Lübbenau","Walken","21500.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","b26238c9-fb2f-4825-9a61-319839359ae4","2020-06-01 17:00:00.000000","4e47221a-2ad9-47f7-993e-16d6557641c4",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,"1"
"0b32bfdb-64f0-46a3-8eab-f44542dddd80","10 km Schneeglöckchen-Wanderung","10 km Schneeglöckchen-Wanderung",NULL,"1",NULL,NULL,"2021-03-07 11:54:08.030431","2021-03-07 11:54:08.030440","0",NULL,"10-km-schneeglckchen-wanderung","W 10","2021-03-01 00:00:00.000000",NULL,"virtuell","Wandern","10000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","bc3f57d0-a67e-4084-a0b6-32495a30e46e","2021-03-30 00:00:00.000000","1e9af348-74fa-4c0d-b060-c9f686eff8e1",NULL,"4","16","51.3794723","51.3794723","13.7638789","13.7638789","0","1"
"0bbbe6f4-e36c-4f1c-a23c-997614e3b3f8","Einfach ? Mensch ! Lauf","2km auf",NULL,"1",NULL,NULL,"2021-09-04 12:41:17.204680","2021-09-24 12:41:17.204688","0",NULL,"2km-em-Lauf","2000m","2021-09-18 11:20:00.303000",NULL,"Stadion","Laufen","2000.000000000000000000000000000000","0","0","0","0",NULL,"1","150","3cf19781-a4ba-4c38-99f1-a710225a44f4","2021-09-18 23:59:59.000000","4e47221a-2ad9-47f7-993e-16d6557641c4",NULL,"4","16","50.9072107","50.9072107","13.3178501","13.3178501","0","0"
"0be43f63-ad36-43ad-8d3c-c6284f5bb780","2 km Schüler & Schnupperlauf","2 km Schüler & Schnupperlauf",NULL,"1",NULL,NULL,"2021-03-07 11:54:04.272081","2021-03-07 11:54:04.272090","0",NULL,"2-km-schler-schnupperlauf","L 2","2021-03-01 00:00:00.000000",NULL,"virtuell","Laufen","2000.000000000000000000000000000000",NULL,NULL,"0","0",NULL,"1","150","bc3f57d0-a67e-4084-a0b6-32495a30e46e","2021-03-30 00:00:00.000000","4e47221a-2ad9-47f7-993e-16d6557641c4",NULL,"4","16","51.3794723","51.3794723","13.7638789","13.7638789","0","1"
